Airline,Date_of_Journey,Source,Destination,Route,Stop 1,Stop 2,Stop 3,Stop 4,Dep_Time,Arrival_Details,Arrival_Date,Arrival_Time,No_of_Days,Duration_hour,Duration_minute,Total_Stops,Additional_Info,Price,Price_Bucket
Jet Airways,06-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,7:00,13:15,06-03-2019,1:15 PM,0,6,15,1,No info,19225,HIGH
Jet Airways,03-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,7:05,19:00,03-06-2019,7:00 PM,0,11,55,1,No info,14924,MEDIUM
Multiple carriers,21-05-2019,Delhi,Cochin,DEL?HYD?COK,HYD,NoSTOP,NoSTOP,NoSTOP,7:05,18:10,21-05-2019,6:10 PM,0,11,5,1,No info,9646,LOW
Air India,15-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,6:45,15:15,15-03-2019,3:15 PM,0,8,30,1,No info,8714,LOW
Jet Airways,18-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,20:55,19-05-2019 19:00,19-5-2019,7:00 PM,0,22,5,1,In-flight meal not included,12373,MEDIUM
Air Asia,06-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,11:10,13:55,06-05-2019,1:55 PM,0,2,45,0,No info,3383,LOW
Multiple carriers,21-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,9:00,21:00,21-03-2019,9:00 PM,0,12,0,1,No info,13062,MEDIUM
SpiceJet,24-03-2019,Banglore,New Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,5:45,8:35,24-03-2019,8:35 AM,0,2,50,0,No check-in baggage included,3527,LOW
IndiGo,27-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,4:00,6:50,27-05-2019,6:50 AM,0,2,50,0,No info,3943,LOW
Air India,03-05-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,11:40,13:55,03-05-2019,1:55 PM,0,2,15,0,No info,4667,LOW
Air India,15-05-2019,Kolkata,Banglore,CCU?HYD?BLR,HYD,NoSTOP,NoSTOP,NoSTOP,19:00,16-05-2019 11:05,16-5-2019,11:05 AM,0,16,5,1,No info,6117,LOW
Jet Airways,27-06-2019,Delhi,Cochin,DEL?AMD?BOM?COK,AMD,BOM,NoSTOP,NoSTOP,23:05,28-06-2019 19:00,28-6-2019,7:00 PM,0,19,55,2,In-flight meal not included,11150,MEDIUM
Jet Airways,09-03-2019,Delhi,Cochin,DEL?COK,NoSTOP,NoSTOP,NoSTOP,NoSTOP,11:00,14:15,09-03-2019,2:15 PM,0,3,15,0,In-flight meal not included,7202,LOW
Jet Airways,01-05-2019,Kolkata,Banglore,CCU?DEL?BLR,DEL,NoSTOP,NoSTOP,NoSTOP,9:35,02-05-2019 10:55,2-5-2019,10:55 AM,1,25,20,1,No info,12121,MEDIUM
IndiGo,24-03-2019,Banglore,New Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,22:20,28-03-2019 1:10,28-3-2019,1:10 AM,0,2,50,0,No info,4377,LOW
IndiGo,18-06-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,21:15,19-06-2019 0:15,19-6-2019,12:15 AM,0,3,0,0,No info,3943,LOW
Air Asia,03-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,23:55,04-04-2019 2:45,4-4-2019,2:45 AM,0,2,50,0,No info,4483,LOW
Jet Airways,24-03-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,19:45,25-03-2019 12:00,25-3-2019,12:00 PM,0,16,15,1,No info,14231,MEDIUM
Air India,01-03-2019,Banglore,New Delhi,BLR?BOM?AMD?DEL,BOM,AMD,NoSTOP,NoSTOP,8:50,23:55,01-03-2019,11:55 PM,0,15,5,2,No info,17345,HIGH
Vistara,06-03-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,7:05,9:20,06-03-2019,9:20 AM,0,2,15,0,No info,7414,LOW
Multiple carriers,06-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,19:00,07-05-2019 1:30,7-5-2019,1:30 AM,0,6,30,1,No info,8073,LOW
Vistara,06-03-2019,Mumbai,Hyderabad,BOM?DEL?HYD,DEL,NoSTOP,NoSTOP,NoSTOP,15:40,07-03-2019 16:45,7-3-2019,4:45 PM,1,25,5,1,No info,12395,MEDIUM
Air India,06-06-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,9:25,21:50,06-06-2019,9:50 PM,0,12,25,1,No info,8366,LOW
Air India,03-04-2019,Delhi,Cochin,DEL?MAA?COK,MAA,NoSTOP,NoSTOP,NoSTOP,6:05,04-04-2019 9:25,4-4-2019,9:25 AM,1,27,20,1,No info,5117,LOW
Multiple carriers,03-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,8:45,19:00,03-06-2019,7:00 PM,0,10,15,1,No info,12524,MEDIUM
IndiGo,15-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,15:00,16-05-2019 1:30,16-5-2019,1:30 AM,0,10,30,1,No info,7191,LOW
Vistara,24-05-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,7:05,9:20,24-05-2019,9:20 AM,0,2,15,0,No info,3687,LOW
IndiGo,24-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,10:35,21:00,24-06-2019,9:00 PM,0,10,25,1,No info,5894,LOW
Vistara,24-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,9:45,12:35,24-04-2019,12:35 PM,0,2,50,0,No info,5403,LOW
Air India,06-05-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,13:55,15:25,06-05-2019,3:25 PM,0,1,30,0,No info,3625,LOW
Air India,21-05-2019,Delhi,Cochin,DEL?BHO?BOM?COK,BHO,BOM,NoSTOP,NoSTOP,5:55,19:15,21-05-2019,7:15 PM,0,13,20,2,No info,10861,MEDIUM
IndiGo,12-03-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,13:20,15:35,12-03-2019,3:35 PM,0,2,15,0,No info,6297,LOW
Jet Airways,01-06-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,7:05,8:30,01-06-2019,8:30 AM,0,1,25,0,No info,5678,LOW
Jet Airways,09-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,5:45,13-03-2019 8:15,13-3-2019,8:15 AM,1,26,30,1,In-flight meal not included,9134,LOW
Multiple carriers,24-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,11:40,19:00,24-06-2019,7:00 PM,0,7,20,1,In-flight meal not included,10791,MEDIUM
Jet Airways,24-06-2019,Delhi,Cochin,DEL?AMD?BOM?COK,AMD,BOM,NoSTOP,NoSTOP,23:05,25-06-2019 12:35,25-6-2019,12:35 PM,0,13,30,2,No info,12819,MEDIUM
IndiGo,21-03-2019,Delhi,Cochin,DEL?BLR?COK,BLR,NoSTOP,NoSTOP,NoSTOP,5:05,10:05,21-03-2019,10:05 AM,0,5,0,1,No info,6893,LOW
Vistara,09-03-2019,Banglore,New Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,9:50,12:35,09-03-2019,12:35 PM,0,2,45,0,No info,7240,LOW
GoAir,03-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,11:40,14:30,03-04-2019,2:30 PM,0,2,50,0,No info,3898,LOW
IndiGo,03-04-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,6:25,7:55,03-04-2019,7:55 AM,0,1,30,0,No info,4049,LOW
Jet Airways,15-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,17:30,16-06-2019 12:35,16-6-2019,12:35 PM,0,19,5,1,In-flight meal not included,10262,MEDIUM
SpiceJet,21-03-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,8:20,10:35,21-03-2019,10:35 AM,0,2,15,0,No check-in baggage included,3332,LOW
Jet Airways,09-06-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,21:10,10-06-2019 12:00,10-6-2019,12:00 PM,0,14,50,1,In-flight meal not included,10844,MEDIUM
Jet Airways,24-03-2019,Banglore,New Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,19:55,22:35,24-03-2019,10:35 PM,0,2,40,0,No info,7229,LOW
Jet Airways,06-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,6:30,07-05-2019 4:40,7-5-2019,4:40 AM,0,22,10,1,No info,13941,MEDIUM
IndiGo,27-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,11:25,21:00,27-06-2019,9:00 PM,0,9,35,1,No info,5894,LOW
Multiple carriers,18-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,9:00,19:00,18-05-2019,7:00 PM,0,10,0,1,No info,10197,MEDIUM
Jet Airways,06-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,14:05,07-03-2019 11:25,7-3-2019,11:25 AM,0,21,20,1,In-flight meal not included,13712,MEDIUM
IndiGo,24-06-2019,Delhi,Cochin,DEL?MAA?COK,MAA,NoSTOP,NoSTOP,NoSTOP,2:00,7:25,24-06-2019,7:25 AM,0,5,25,1,No info,5636,LOW
Jet Airways,06-06-2019,Delhi,Cochin,DEL?JAI?BOM?COK,JAI,BOM,NoSTOP,NoSTOP,9:40,07-06-2019 4:25,7-6-2019,4:25 AM,0,18,45,2,No info,13014,MEDIUM
Jet Airways,01-04-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,8:25,20:45,01-04-2019,8:45 PM,0,12,20,1,In-flight meal not included,7064,LOW
Jet Airways,24-05-2019,Kolkata,Banglore,CCU?DEL?BLR,DEL,NoSTOP,NoSTOP,NoSTOP,20:25,25-05-2019 14:25,25-5-2019,2:25 PM,0,18,0,1,In-flight meal not included,10703,MEDIUM
Multiple carriers,27-05-2019,Delhi,Cochin,DEL?HYD?COK,HYD,NoSTOP,NoSTOP,NoSTOP,13:15,22:30,27-05-2019,10:30 PM,0,9,15,1,No info,9646,LOW
Multiple carriers,06-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,2:15,13:20,06-03-2019,1:20 PM,0,11,5,1,No info,17057,HIGH
Jet Airways,12-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,16:55,13-03-2019 10:25,13-3-2019,10:25 AM,0,17,30,1,No info,13817,MEDIUM
Air India,06-03-2019,Delhi,Cochin,DEL?BHO?BOM?COK,BHO,BOM,NoSTOP,NoSTOP,5:55,19:15,06-03-2019,7:15 PM,0,13,20,2,No info,13748,MEDIUM
Air India,21-04-2019,Kolkata,Banglore,CCU?BLR,NoSTOP,NoSTOP,NoSTOP,NoSTOP,20:45,23:20,21-04-2019,11:20 PM,0,2,35,0,No info,4880,LOW
IndiGo,21-06-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,5:15,7:40,21-06-2019,7:40 AM,0,2,25,0,No info,3540,LOW
SpiceJet,15-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,5:55,8:35,15-05-2019,8:35 AM,0,2,40,0,No check-in baggage included,3257,LOW
Jet Airways,03-06-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,19:50,22:50,03-06-2019,10:50 PM,0,3,0,0,In-flight meal not included,6478,LOW
Jet Airways,18-06-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,7:05,8:30,18-06-2019,8:30 AM,0,1,25,0,No info,8040,LOW
Jet Airways,12-06-2019,Delhi,Cochin,DEL?ATQ?BOM?COK,ATQ,BOM,NoSTOP,NoSTOP,20:00,13-06-2019 12:35,13-6-2019,12:35 PM,0,16,35,2,No info,14300,MEDIUM
Jet Airways,15-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,8:25,20:45,15-05-2019,8:45 PM,0,12,20,1,No info,14781,MEDIUM
Jet Airways,09-06-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,20:00,10-06-2019 8:15,10-6-2019,8:15 AM,0,12,15,1,No info,14939,MEDIUM
Jet Airways,24-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,20:55,25-06-2019 4:25,25-6-2019,4:25 AM,0,7,30,1,In-flight meal not included,10262,MEDIUM
Air India,12-05-2019,Kolkata,Banglore,CCU?MAA?BLR,MAA,NoSTOP,NoSTOP,NoSTOP,14:35,13-05-2019 14:35,13-5-2019,2:35 PM,0,24,0,1,No info,6528,LOW
Air India,01-05-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,6:10,8:55,01-05-2019,8:55 AM,0,2,45,0,No info,6121,LOW
Jet Airways,18-05-2019,Delhi,Cochin,DEL?JAI?BOM?COK,JAI,BOM,NoSTOP,NoSTOP,19:30,19-05-2019 4:25,19-5-2019,4:25 AM,0,8,55,2,In-flight meal not included,13029,MEDIUM
Multiple carriers,27-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,11:40,18:50,27-03-2019,6:50 PM,0,7,10,1,No info,11421,MEDIUM
Multiple carriers,27-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,4:45,19:15,27-03-2019,7:15 PM,0,14,30,1,No info,7574,LOW
Air India,09-05-2019,Delhi,Cochin,DEL?JDH?BOM?COK,JDH,BOM,NoSTOP,NoSTOP,12:55,10-05-2019 19:15,10-5-2019,7:15 PM,1,30,20,2,No info,11596,MEDIUM
Jet Airways,24-05-2019,Delhi,Cochin,DEL?AMD?BOM?COK,AMD,BOM,NoSTOP,NoSTOP,23:05,25-05-2019 19:00,25-5-2019,7:00 PM,0,19,55,2,No info,15129,HIGH
Jet Airways,18-03-2019,Banglore,New Delhi,BLR?BOM?DEL,BOM,NoSTOP,NoSTOP,NoSTOP,14:05,16-03-2019 5:05,16-3-2019,5:05 AM,0,15,0,1,No info,13555,MEDIUM
IndiGo,12-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,18:55,21:50,12-04-2019,9:50 PM,0,2,55,0,No info,5780,LOW
Vistara,12-05-2019,Kolkata,Banglore,CCU?DEL?BLR,DEL,NoSTOP,NoSTOP,NoSTOP,20:20,13-05-2019 9:05,13-5-2019,9:05 AM,0,12,45,1,No info,9397,LOW
Jet Airways,06-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,18:15,07-03-2019 4:25,7-3-2019,4:25 AM,0,10,10,1,No info,17024,HIGH
GoAir,27-06-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,7:00,12:55,27-06-2019,12:55 PM,0,5,55,1,No info,5281,LOW
Multiple carriers,18-05-2019,Delhi,Cochin,DEL?HYD?COK,HYD,NoSTOP,NoSTOP,NoSTOP,7:05,22:30,18-05-2019,10:30 PM,0,15,25,1,No info,10348,MEDIUM
Air India,06-03-2019,Delhi,Cochin,DEL?MAA?COK,MAA,NoSTOP,NoSTOP,NoSTOP,17:20,07-03-2019 9:25,7-3-2019,9:25 AM,0,16,5,1,No info,12677,MEDIUM
Multiple carriers,03-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,15:25,04-03-2019 1:35,4-3-2019,1:35 AM,0,10,10,1,No info,15147,HIGH
Vistara,12-06-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,7:00,9:40,12-06-2019,9:40 AM,0,2,40,0,No info,4668,LOW
Jet Airways,09-05-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,7:05,19:00,09-05-2019,7:00 PM,0,11,55,1,No info,15554,HIGH
SpiceJet,09-04-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,5:55,8:35,09-04-2019,8:35 AM,0,2,40,0,No info,3971,LOW
Air India,03-05-2019,Mumbai,Hyderabad,BOM?HYD,NoSTOP,NoSTOP,NoSTOP,NoSTOP,15:00,16:25,03-05-2019,4:25 PM,0,1,25,0,No info,3100,LOW
Jet Airways,06-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,20:00,07-05-2019 10:05,7-5-2019,10:05 AM,0,14,5,1,In-flight meal not included,9663,LOW
Air India,01-03-2019,Delhi,Cochin,DEL?BOM?COK,BOM,NoSTOP,NoSTOP,NoSTOP,23:00,02-03-2019 19:15,2-3-2019,7:15 PM,0,20,15,1,No info,27430,VERY HIGH
IndiGo,12-05-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,5:15,7:40,12-05-2019,7:40 AM,0,2,25,0,No info,3540,LOW
Air India,21-05-2019,Kolkata,Banglore,CCU?BBI?BOM?BLR,BBI,BOM,NoSTOP,NoSTOP,12:00,22-05-2019 11:10,22-5-2019,11:10 AM,0,23,10,2,No info,10676,MEDIUM
Jet Airways,12-06-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,14:05,13-06-2019 8:15,13-6-2019,8:15 AM,0,18,10,1,No info,13044,MEDIUM
Jet Airways,06-05-2019,Kolkata,Banglore,CCU?BOM?BLR,BOM,NoSTOP,NoSTOP,NoSTOP,20:00,07-05-2019 12:00,7-5-2019,12:00 PM,0,16,0,1,No info,14388,MEDIUM
IndiGo,24-06-2019,Banglore,Delhi,BLR?DEL,NoSTOP,NoSTOP,NoSTOP,NoSTOP,4:00,6:50,24-06-2019,6:50 AM,0,2,50,0,No info,3943,LOW
IndiGo,03-06-2019,Chennai,Kolkata,MAA?CCU,NoSTOP,NoSTOP,NoSTOP,NoSTOP,14:45,17:05,03-06-2019,5:05 PM,0,2,20,0,No info,3597,LOW
